+-------+-----------------------------+----------+------------------------------------------+
| Index |       Street Address        | Zip Code |               Coordinates                |
|  23   |    1775 The Exchange SE     |  30339   |    (-84.47976180328665, 33.91060305)     |
|  24   |     3040 Briarcliff Rd      |  30329   |        (-84.3926489, 33.7993702)         |
|   0   |              -              |    -     | (-84.51030107253672, 33.635286201180506) |
|   1   |              -              |    -     | (-84.38091855760688, 33.75695004463694)  |
|   2   |              -              |    -     |  (-84.46125527105775, 33.8930700779596)  |
|   3   |              -              |    -     |  (-84.3612018549125, 33.69820512466319)  |
|   4   |              -              |    -     | (-84.36122428833387, 33.754815779649306) |
|   5   |              -              |    -     | (-84.31726416271944, 33.75214667810309)  |
|   6   |              -              |    -     | (-84.47185032553737, 33.65188642770771)  |
|   7   |              -              |    -     | (-84.42462005513583, 33.787942402950556) |
|   8   |              -              |    -     | (-84.46492557518256, 33.69572916489882)  |
|   9   |              -              |    -     | (-84.34801026937554, 33.79566104736236)  |
|  10   |              -              |    -     | (-84.42732283663322, 33.92206925205106)  |
|  11   |              -              |    -     |  (-84.47009099366932, 33.657310217087)   |
|  12   |              -              |    -     | (-84.46206314188657, 33.87046767323564)  |
|  13   |              -              |    -     | (-84.44079099016172, 33.681519998159615) |
|  14   |              -              |    -     | (-84.31552224698027, 33.63693176885176)  |
|  15   |              -              |    -     | (-84.51427606898483, 33.71337443624216)  |
|  16   |              -              |    -     |  (-84.51694069719441, 33.6533467768624)  |
|  17   |              -              |    -     | (-84.39378571435385, 33.86760882080047)  |
|  18   |              -              |    -     | (-84.39445461952471, 33.69876635150579)  |
|  19   |              -              |    -     | (-84.36555297803592, 33.64123345575785)  |
|  20   |              -              |    -     | (-84.51281871838918, 33.841057445451916) |
|  21   |              -              |    -     | (-84.37590820259378, 33.87018796560104)  |
|  22   |              -              |    -     | (-84.46730972538958, 33.65078481573369)  |
|  23   |              -              |    -     | (-84.37156904739665, 33.68222849976567)  |
|  24   |              -              |    -     |  (-84.4028852135292, 33.84835874270672)  |
|  25   |              -              |    -     | (-84.43955334838245, 33.82665551162382)  |
|  26   |              -              |    -     | (-84.37523383096256, 33.62561516217684)  |
|  27   |              -              |    -     | (-84.41208004895415, 33.79235755729623)  |
|  28   |              -              |    -     | (-84.51560959594283, 33.77194093073685)  |
|  29   |              -              |    -     | (-84.36146096230249, 33.90633304852828)  |
|  30   |              -              |    -     | (-84.46540862953096, 33.67422528500766)  |
|  31   |              -              |    -     | (-84.52999421939224, 33.68127771844628)  |
|  32   |              -              |    -     |   (-84.3202947891, 33.647226767776154)   |
|  33   |              -              |    -     |  (-84.4927203309058, 33.63692015800862)  |
|  34   |              -              |    -     | (-84.31764227613486, 33.93161260768027)  |
|  35   |              -              |    -     | (-84.43163106733988, 33.63460277000264)  |
|  36   |              -              |    -     | (-84.32454400676416, 33.883992058047355) |
|  37   |              -              |    -     | (-84.51466919701565, 33.73271061577532)  |
|  38   |              -              |    -     | (-84.3691963966782, 33.712196906866446)  |
|  39   |              -              |    -     | (-84.34262380748362, 33.87688266875094)  |
|  40   |              -              |    -     |  (-84.3506820388953, 33.90432134422416)  |
|  41   |              -              |    -     | (-84.41530003227527, 33.641299216558835) |
|  42   |              -              |    -     | (-84.31797219909008, 33.91742749500565)  |
|  43   |              -              |    -     | (-84.45727336058879, 33.85042219760251)  |
|  44   |              -              |    -     | (-84.41206796377072, 33.88594103621174)  |
|  45   |              -              |    -     | (-84.52353160837188, 33.79763957628153)  |
|  46   |              -              |    -     |  (-84.49054622595837, 33.7029756545104)  |
|  47   |              -              |    -     | (-84.46311026421733, 33.788416711928676) |
|  48   |              -              |    -     |  (-84.3839211245721, 33.82349786895482)  |
|  49   |              -              |    -     |  (-84.5228861809605, 33.61778973683651)  |
+-------+-----------------------------+----------+------------------------------------------+
